Street,City,County,State,Zipcode,Price,WalkScore,Bike_Score,Beds,Bath,Sqft,Property_Type,Year_Built,Status
655 12th st #112,Oakland,Alameda-County,Ca,94607,649000.0,96,91.0,2.0,2.0,1037.0,Condo,2003.0,New
4475 redding st,Oakland,Alameda-County,Ca,94619,699000.0,82,47.0,2.0,2.0,990.0,Single family residential,1930.0,New
6501 san pablo ave #404,Oakland,Alameda-County,Ca,94608,685000.0,94,86.0,1.0,1.5,1010.0,Condo,2006.0,New
29467 taylor ave,Hayward,Alameda-County,Ca,94544,899999.0,52,69.0,3.0,2.5,1469.0,Single family home,1989.0,Active
1258 144th ave,San leandro,Alameda-County,Ca,94578,499950.0,80,55.0,2.0,1.0,545.0,Single family residential,1920.0,New
4000 altamont ave,Oakland,Alameda-County,Ca,94605,770000.0,38,41.0,4.0,2.0,1361.0,Single family residential,1925.0,New
2215 88th ave,Oakland,Alameda-County,Ca,94605,758800.0,71,63.0,5.0,3.0,1433.0,Single family residential,1937.0,New
28860 rochelle ave,Hayward,Alameda-County,Ca,94544,998000.0,61,56.0,4.0,2.5,1866.0,Single family home,1999.0,Active
38888 salmon ter,Fremont,Alameda-County,Ca,94536,1050000.0,43,73.0,3.0,2.5,1400.0,Townhouse,1995.0,New
17393 via magdalena,San lorenzo,Alameda-County,Ca,94580-2929,849000.0,84,64.0,2.0,1.0,1051.0,Single family residential,1947.0,New
725 e 21st st,Oakland,Alameda-County,Ca,94606,899000.0,88,69.0,3.0,1.0,1559.0,Single family residential,1880.0,New
325 valle vista ave #102,Hayward,Alameda-County,Ca,94544,399950.0,55,58.0,1.0,1.0,598.0,Condo,1984.0,Active
4760 tompkins ave,Oakland,Alameda-County,Ca,94619,825000.0,51,47.0,4.0,2.0,2100.0,Single family residential,1956.0,New
19424 waverly ave,Hayward,Alameda-County,Ca,94541,880000.0,58,56.0,3.0,2.0,1662.0,Single family residential,1952.0,New
18866 lenross ct,Castro valley,Alameda-County,Ca,94546,899000.0,54,42.0,3.0,1.5,1169.0,Single family residential,1952.0,New
4141 vinyard,Pleasanton,Alameda-County,Ca,94566-6712,888800.0,88,72.0,2.0,2.0,756.0,Single family residential,1920.0,New
2533 62nd ave,Oakland,Alameda-County,Ca,94605,585500.0,83,60.0,2.0,2.0,1243.0,Single family residential,1912.0,New
2380 103rd,Oakland,Alameda-County,Ca,94603,499000.0,74,77.0,5.0,3.5,1780.0,Single family residential,1920.0,Price change
2825 abbey st,Oakland,Alameda-County,Ca,94619,599888.0,70,70.0,2.0,1.0,706.0,Single family residential,1910.0,New
2394 mariner square drive b11,Alameda,Alameda-County,Ca,94501,665000.0,69,83.0,1.0,1.5,962.0,Single family residential,1970.0,New
5533 proctor ave,Oakland,Alameda-County,Ca,94618,1199950.0,38,31.0,3.0,2.5,1717.0,Single family residential,1950.0,Active
32824 oakdale ct,Union city,Alameda-County,Ca,94587,1349000.0,23,53.0,3.0,2.5,1901.0,Single family residential,1983.0,New
7212 emerald,Dublin,Alameda-County,Ca,94568,1199999.0,69,76.0,4.0,2.0,1503.0,Single family residential,1973.0,New
2580 pleasant st,Oakland,Alameda-County,Ca,94602,749000.0,91,68.0,4.0,2.0,1836.0,Multi-family (2-4 unit),1941.0,New
1858 brooktree way,Pleasanton,Alameda-County,Ca,94566,1899000.0,62,65.0,4.0,2.5,2047.0,Single family residential,1965.0,New
215 kevington pl,Alameda,Alameda-County,Ca,94502,1499000.0,40,78.0,3.0,3.0,1876.0,Single family residential,1979.0,New
1405 harmon st,Berkeley,Alameda-County,Ca,94702,1549888.0,90,90.0,3.0,2.0,1304.0,Single family residential,1947.0,New
3867 brown ave,Oakland,Alameda-County,Ca,94619,797000.0,84,60.0,3.0,1.0,1212.0,Single family residential,1910.0,New
27701 eucalyptus ct,Hayward,Alameda-County,Ca,94544,799000.0,39,71.0,3.0,2.5,1549.0,Single family residential,1977.0,Active
8145 juniper ave,Newark,Alameda-County,Ca,94560,1150000.0,43,39.0,3.0,2.0,1657.0,Single family home,1961.0,Active
1544 d st,Hayward,Alameda-County,Ca,94541,1199000.0,67,52.0,4.0,3.0,2021.0,Multi-family (2-4 unit),1914.0,New
1500 plaza dr,San leandro,Alameda-County,Ca,94578,789000.0,74,59.0,3.0,2.0,1763.0,Single family residential,1922.0,New
6352 montcalm ave,Newark,Alameda-County,Ca,94560,1249000.0,70,52.0,4.0,2.0,1729.0,Single family home,1977.0,Active
3382 62nd ave,Oakland,Alameda-County,Ca,94605,589000.0,71,48.0,2.0,1.0,763.0,Single family residential,1931.0,New
438 w grand ave #528,Oakland,Alameda-County,Ca,94612,799000.0,99,96.0,2.0,2.0,1062.0,Condo,2008.0,New
5830 midnight pl unit e,Dublin,Alameda-County,Ca,94568,1099900.0,35,81.0,3.0,2.0,1618.0,Townhouse,2020.0,New
3015 myrtle st #3,Oakland,Alameda-County,Ca,94608,599000.0,89,99.0,1.0,1.5,1267.0,Condo,1930.0,New
10930 apricot st,Oakland,Alameda-County,Ca,94603-3828,459000.0,61,71.0,2.0,1.0,871.0,Single family residential,1942.0,New
2659 home ave,Hayward,Alameda-County,Ca,94542,1295000.0,35,26.0,3.0,2.0,2685.0,Single family residential,1982.0,New
6045 skyline blvd,Oakland,Alameda-County,Ca,94611,2149000.0,7,24.0,4.0,2.5,3204.0,Single family residential,2003.0,New
42111 osgood rd #504,Fremont,Alameda-County,Ca,94539,797800.0,58,52.0,3.0,2.0,1082.0,Condo,2022.0,Active
19 ealing ln,Oakland,Alameda-County,Ca,94608,739000.0,84,95.0,2.0,2.0,1500.0,Townhouse,2005.0,New
42111 osgood rd #422,Fremont,Alameda-County,Ca,94539,663800.0,58,52.0,2.0,2.0,1046.0,Condo,2022.0,Active
42111 osgood rd #419,Fremont,Alameda-County,Ca,94539,525800.0,58,52.0,1.0,1.0,735.0,Condo,2022.0,Active
3072 22nd ave,Oakland,Alameda-County,Ca,94602,799000.0,76,77.0,2.0,1.0,1059.0,Single family residential,1940.0,New
2576 la don ct,Castro valley,Alameda-County,Ca,94546,869000.0,71,40.0,3.0,1.5,1289.0,Single family residential,1954.0,New
1160 d st,Hayward,Alameda-County,Ca,94541,960000.0,92,43.0,5.0,3.0,1228.0,Multi-family (2-4 unit),1918.0,New
1078 48th st,Emeryville,Alameda-County,Ca,94608,998000.0,90,98.0,4.0,2.0,1183.0,Single family residential,1890.0,New
20 ascot pl,Oakland,Alameda-County,Ca,94611,1675000.0,29,17.0,3.0,2.0,2125.0,Single family residential,1961.0,New
730 canyon oaks dr unit e,Oakland,Alameda-County,Ca,94605,490000.0,21,13.0,1.0,1.0,815.0,Condo,1988.0,New
152 brighton rd,Alameda,Alameda-County,Ca,94502,1098000.0,36,72.0,3.0,2.0,1503.0,Single family residential,1984.0,New
4732 fair ave,Oakland,Alameda-County,Ca,94619,849000.0,40,34.0,2.0,1.0,1207.0,Single family residential,1945.0,New
8117 greenly dr,Oakland,Alameda-County,Ca,94605,899000.0,26,13.0,3.0,2.0,1445.0,Single family residential,1925.0,New
21314 gary dr #106,Hayward,Alameda-County,Ca,94546,580000.0,61,35.0,2.0,2.0,1100.0,Condo,1991.0,New
2020 hill ave,Hayward,Alameda-County,Ca,94541,1298888.0,67,30.0,4.0,3.0,2444.0,Single family home,1963.0,Active
155 hagar,Piedmont,Alameda-County,Ca,94611,2350000.0,35,18.0,4.0,3.5,2752.0,Single family residential,1981.0,New
2315 bartlett st,Oakland,Alameda-County,Ca,94601,549000.0,70,67.0,3.0,2.0,1312.0,Single family residential,1926.0,New
3059 richmond blvd,Oakland,Alameda-County,Ca,94611,1699000.0,91,71.0,5.0,4.0,3284.0,Multi-family (2-4 unit),1915.0,New
3032 hyde st,Oakland,Alameda-County,Ca,94601,920000.0,82,69.0,3.0,1.5,1940.0,Single family residential,1938.0,Price change
21682 shadyspring rd,Castro valley,Alameda-County,Ca,94546,1349800.0,53,35.0,4.0,2.5,2466.0,Single family residential,1976.0,New
5416 cleveland pl,Fremont,Alameda-County,Ca,94538,1495000.0,78,55.0,5.0,3.0,1900.0,Single family residential,1967.0,New
1009 carnelian ter,Union city,Alameda-County,Ca,94587,1050000.0,29,37.0,3.0,2.5,1675.0,Condo,2006.0,New
1007 41st st #112,Emeryville,Alameda-County,Ca,94608,439000.0,94,97.0,1.0,1.0,668.0,Condo,2005.0,New
1365 parker st,San leandro,Alameda-County,Ca,94577,798888.0,70,27.0,3.0,2.0,1466.0,Single family residential,1946.0,New
7087 skyline blvd,Oakland,Alameda-County,Ca,94611,999999.0,2,20.0,3.0,3.0,3677.0,Single family residential,2014.0,New
16032 via harriet,San lorenzo,Alameda-County,Ca,94580,814000.0,40,52.0,4.0,2.0,1226.0,Single family residential,1956.0,New
260 industrial pkwy #11,Hayward,Alameda-County,Ca,94544,480000.0,64,63.0,2.0,1.5,952.0,Condo,1973.0,Price change
985 riesling dr,Pleasanton,Alameda-County,Ca,94566,1829000.0,50,50.0,4.0,2.0,2053.0,Single family residential,1968.0,New
1328 83rd ave,Oakland,Alameda-County,Ca,94621,699000.0,77,62.0,6.0,3.0,2248.0,Multi-family (2-4 unit),1925.0,New
40246 davis ct,Fremont,Alameda-County,Ca,94538,1100000.0,67,55.0,3.0,2.0,1148.0,Single family home,1959.0,Active
4903 middleton pl,Pleasanton,Alameda-County,Ca,94566,2050000.0,9,11.0,4.0,2.0,2302.0,Single family residential,1997.0,New
1679 12th st,Oakland,Alameda-County,Ca,94607,995000.0,82,95.0,3.0,2.5,1795.0,Single family residential,2023.0,New
5941 colton blvd,Oakland,Alameda-County,Ca,94611,1325000.0,56,35.0,3.0,2.5,2373.0,Single family residential,1965.0,New
4901 sterling dr,Fremont,Alameda-County,Ca,94536,2369950.0,34,41.0,4.0,3.0,2192.0,Single family residential,1953.0,New
39887 cedar blvd #253,Newark,Alameda-County,Ca,94560,698888.0,52,53.0,3.0,2.0,1283.0,Condo,1986.0,Active
1918 kilowatt way #102,Fremont,Alameda-County,Ca,94539,1922355.0,22,60.0,4.0,3.5,2493.0,Condo,2023.0,New
6363 christie ave #3007,Emeryville,Alameda-County,Ca,94608,1200000.0,82,91.0,2.0,1.5,1144.0,Condo,1984.0,Active
4800 webster,Oakland,Alameda-County,Ca,94609,1495000.0,98,93.0,5.0,3.0,2775.0,Single family residential,1913.0,New
37168 meadowbrook cmn #201,Fremont,Alameda-County,Ca,94536,480000.0,65,64.0,2.0,1.0,934.0,Condo,1984.0,New
1575 172nd ave,Hayward,Alameda-County,Ca,94541,729000.0,68,31.0,4.0,2.5,1400.0,Single family residential,1949.0,New
2510 san jose ave,Alameda,Alameda-County,Ca,94501,895000.0,92,80.0,2.0,2.0,1046.0,Single family residential,1910.0,New
1171 hearst unit b,Berkeley,Alameda-County,Ca,94702,875000.0,96,100.0,2.0,1.5,846.0,Condo,2022.0,New
22 moss ave #312,Oakland,Alameda-County,Ca,94610,669000.0,83,69.0,2.0,2.0,1159.0,Condo,1965.0,New
5588 campbell ave,Dublin,Alameda-County,Ca,94568,1189000.0,44,90.0,4.0,4.5,2055.0,Townhouse,2016.0,New
5799 el dorado ln,Dublin,Alameda-County,Ca,94568,1399000.0,43,92.0,4.0,3.5,2541.0,Single family residential,2017.0,New
1270 gusty loop #7,Livermore,Alameda-County,Ca,94550,875000.0,35,51.0,3.0,2.5,1707.0,Condo,2017.0,New
2648 68th ave,Oakland,Alameda-County,Ca,94605,509000.0,82,68.0,2.0,1.0,1140.0,Single family residential,1927.0,New
21447 bedford dr,Castro valley,Alameda-County,Ca,94546,1399000.0,54,36.0,4.0,3.5,2231.0,Single family residential,1950.0,New
597 heritage cir,San lorenzo,Alameda-County,Ca,94580,750000.0,49,41.0,5.0,3.5,1973.0,Single family residential,2004.0,New
2351 spinnaker ct,San leandro,Alameda-County,Ca,94579,1199000.0,42,62.0,4.0,3.0,2552.0,Single family home,2000.0,Active
1510 pullman way,Oakland,Alameda-County,Ca,94607,775900.0,68,74.0,2.0,2.5,1644.0,Townhouse,2017.0,New
3398 hadsell ct,Pleasanton,Alameda-County,Ca,94588,1599000.0,41,62.0,5.0,2.5,1971.0,Single family residential,1993.0,New
19100 clement dr,Castro valley,Alameda-County,Ca,94552,1170000.0,13,2.0,4.0,2.0,1499.0,Single family residential,1985.0,New
1974 evergreen ave,San leandro,Alameda-County,Ca,94577,799999.0,47,36.0,3.0,2.0,1495.0,Single family residential,1962.0,New
36071 cedar blvd,Newark,Alameda-County,Ca,94560,1099000.0,34,41.0,4.0,2.0,1360.0,Single family home,1961.0,Active
4725 balboa way,Fremont,Alameda-County,Ca,94536,988888.0,69,55.0,3.0,1.5,1208.0,Single family residential,1953.0,New
1677 12th st,Oakland,Alameda-County,Ca,94607,899000.0,82,95.0,3.0,2.5,1481.0,Single family residential,2023.0,New
6195 marguerite dr,Newark,Alameda-County,Ca,94560,1099000.0,23,43.0,3.0,2.0,1315.0,Single family home,1963.0,Active
2446 24th ave,Oakland,Alameda-County,Ca,94601,599000.0,74,60.0,2.0,1.0,1283.0,Single family residential,1926.0,New
546 glen view ave,Oakland,Alameda-County,Ca,94610,1395000.0,98,79.0,4.0,2.5,2924.0,Single family residential,1923.0,New
485 8th st #503,Oakland,Alameda-County,Ca,94607,450000.0,100,84.0,1.0,1.0,598.0,Condo,2001.0,New
4916 cody ct,Fremont,Alameda-County,Ca,94538,1148000.0,60,65.0,3.0,2.0,1204.0,Single family residential,1964.0,New
544 glen view ave,Oakland,Alameda-County,Ca,94610,1395000.0,98,79.0,4.0,2.5,2924.0,Multi-family (2-4 unit),1923.0,New
2271 virginia st,Berkeley,Alameda-County,Ca,94709,1795000.0,92,73.0,4.0,3.5,2558.0,Single family residential,1925.0,New
6323 central ave,Newark,Alameda-County,Ca,94560,899000.0,50,40.0,3.0,1.0,1054.0,Single family residential,1952.0,New
360 blake ave,Fremont,Alameda-County,Ca,94536,1998888.0,30,63.0,5.0,3.0,2353.0,Single family residential,1978.0,New
2239 83rd ave,Oakland,Alameda-County,Ca,94605,575000.0,72,65.0,2.0,1.0,936.0,Single family home,1925.0,Active
39109 guardino dr #237,Fremont,Alameda-County,Ca,94538,478000.0,45,64.0,1.0,1.0,693.0,Condo,1987.0,Active
17103 via flores,San lorenzo,Alameda-County,Ca,94580,899000.0,68,58.0,3.0,2.0,1865.0,Single family home,1947.0,Active
39455 finial cmn,Fremont,Alameda-County,Ca,94539,1298000.0,52,60.0,4.0,3.5,1848.0,Townhouse,2018.0,New
37816 bright cmn,Fremont,Alameda-County,Ca,94536,949999.0,55,63.0,2.0,2.5,1513.0,Townhouse,1977.0,Active
5876 hillbrook pl,Dublin,Alameda-County,Ca,94568,1149000.0,15,36.0,3.0,3.0,1719.0,Single family residential,2007.0,New
555 10th st #323,Oakland,Alameda-County,Ca,94607,589000.0,99,88.0,2.0,2.0,906.0,Condo,1998.0,Active
849 madeira dr,Pleasanton,Alameda-County,Ca,94566,1648990.0,43,44.0,3.0,2.0,2016.0,Single family residential,1975.0,New
640 bogalusa ct,Fremont,Alameda-County,Ca,94539,2399000.0,21,34.0,5.0,2.5,2836.0,Single family residential,1980.0,New
6105 san pablo ave #203,Oakland,Alameda-County,Ca,94608,825000.0,94,83.0,2.0,2.5,1488.0,Condo,2021.0,New
311 oak st #840,Oakland,Alameda-County,Ca,94607,599999.0,92,89.0,1.0,1.0,958.0,Condo,2003.0,New
5832 nottingham dr,Oakland,Alameda-County,Ca,94611,1225000.0,50,25.0,3.0,2.0,2267.0,Single family residential,1931.0,New
